Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2024-09-27,1660.0899658203125,1660.0899658203125,1668.5899658203125,1658.489990234375,1668.5899658203125,204790600,2024-09-27,1660.0899658203125
2024-09-30,1648.9100341796875,1648.9100341796875,1661.8900146484375,1647.280029296875,1661.8900146484375,279911900,2024-09-30,1648.9100341796875
2024-10-01,1656.3900146484375,1656.3900146484375,1657.3199462890625,1643.1099853515625,1647.4200439453125,175516900,2024-10-01,1656.3900146484375
2024-10-02,1639.31005859375,1639.31005859375,1647.300048828125,1633.0799560546875,1642.780029296875,209417000,2024-10-02,1639.31005859375
2024-10-03,1641.550048828125,1641.550048828125,1643.8199462890625,1630.449951171875,1640.699951171875,196807000,2024-10-03,1641.550048828125
2024-10-04,1629.969970703125,1629.969970703125,1639.2900390625,1625.3499755859375,1638.489990234375,207710900,2024-10-04,1629.969970703125
2024-10-07,1635.2900390625,1635.2900390625,1637.2900390625,1628.1199951171875,1633.5799560546875,204278000,2024-10-07,1635.2900390625
2024-10-08,1635.6199951171875,1635.6199951171875,1638.8699951171875,1629.219970703125,1631.6300048828125,217848800,2024-10-08,1635.6199951171875
2024-10-09,1634.9100341796875,1634.9100341796875,1642.2900390625,1634.9100341796875,1637.6600341796875,157353300,2024-10-09,1634.9100341796875
2024-10-10,1640.93994140625,1640.93994140625,1646.1400146484375,1638.6700439453125,1639.75,146543200,2024-10-10,1640.93994140625
2024-10-11,1633.550048828125,1633.550048828125,1643.0699462890625,1631.8900146484375,1635.7900390625,301967800,2024-10-11,1633.550048828125
2024-10-14,1636.5400390625,1636.5400390625,1642.56005859375,1632.3699951171875,1637.1700439453125,208720300,2024-10-14,1636.5400390625
2024-10-15,1641.969970703125,1641.969970703125,1643.6400146484375,1636.8900146484375,1638.56005859375,274146500,2024-10-15,1641.969970703125
2024-10-16,1632.6300048828125,1632.6300048828125,1643.800048828125,1629.81005859375,1643.800048828125,272688900,2024-10-16,1632.6300048828125
2024-10-17,1641.43994140625,1641.43994140625,1642.9300537109375,1633.719970703125,1634.469970703125,178991000,2024-10-17,1641.43994140625
